country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-10-14,-37.0,-11.0,15.0,-61.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-15,-36.0,-12.0,22.0,-59.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-16,-43.0,-22.0,-33.0,-61.0,-45.0,17.0
United States,Massachusetts,Suffolk County,2020-10-17,-32.0,-10.0,19.0,-51.0,-21.0,6.0
United States,Massachusetts,Suffolk County,2020-10-18,-32.0,-18.0,26.0,-52.0,-21.0,5.0
United States,Massachusetts,Suffolk County,2020-10-19,-38.0,-17.0,6.0,-61.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-20,-38.0,-18.0,2.0,-62.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2020-10-21,-40.0,-17.0,-4.0,-63.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2020-10-22,-37.0,-13.0,14.0,-60.0,-47.0,16.0
United States,Massachusetts,Suffolk County,2020-10-23,-37.0,-15.0,1.0,-59.0,-44.0,16.0
United States,Massachusetts,Suffolk County,2020-10-24,-31.0,-11.0,44.0,-49.0,-21.0,5.0
United States,Massachusetts,Suffolk County,2020-10-25,-34.0,-18.0,2.0,-55.0,-23.0,6.0
United States,Massachusetts,Suffolk County,2020-10-26,-41.0,-20.0,-17.0,-62.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2020-10-27,-38.0,-19.0,-13.0,-63.0,-49.0,16.0
United States,Massachusetts,Suffolk County,2020-10-28,-44.0,-22.0,-40.0,-65.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-10-29,-45.0,-22.0,-43.0,-65.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-10-30,-49.0,-27.0,-47.0,-65.0,-47.0,20.0
United States,Massachusetts,Suffolk County,2020-10-31,-36.0,-7.0,-6.0,-54.0,-21.0,6.0
United States,Massachusetts,Suffolk County,2020-11-01,-39.0,-21.0,-32.0,-56.0,-24.0,7.0
United States,Massachusetts,Suffolk County,2020-11-02,-40.0,-18.0,-32.0,-64.0,-47.0,16.0
United States,Massachusetts,Suffolk County,2020-11-03,-35.0,-14.0,-25.0,-65.0,-50.0,16.0
United States,Massachusetts,Suffolk County,2020-11-04,-43.0,-20.0,-17.0,-65.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-11-05,-40.0,-15.0,2.0,-63.0,-47.0,17.0
United States,Massachusetts,Suffolk County,2020-11-06,-40.0,-19.0,-2.0,-61.0,-44.0,17.0
United States,Massachusetts,Suffolk County,2020-11-07,-32.0,-12.0,65.0,-51.0,-19.0,6.0
United States,Massachusetts,Suffolk County,2020-11-08,-32.0,-17.0,39.0,-55.0,-21.0,6.0
United States,Massachusetts,Suffolk County,2020-11-09,-38.0,-18.0,6.0,-63.0,-46.0,16.0
United States,Massachusetts,Suffolk County,2020-11-10,-37.0,-19.0,7.0,-64.0,-47.0,16.0
United States,Massachusetts,Suffolk County,2020-11-11,-40.0,-18.0,-6.0,-67.0,-55.0,19.0
United States,Massachusetts,Suffolk County,2020-11-12,-45.0,-19.0,-27.0,-64.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-11-13,-47.0,-23.0,-46.0,-64.0,-45.0,20.0
United States,Massachusetts,Suffolk County,2020-11-14,-38.0,-12.0,0.0,-53.0,-21.0,7.0
United States,Massachusetts,Suffolk County,2020-11-15,-39.0,-21.0,-19.0,-56.0,-23.0,8.0
United States,Massachusetts,Suffolk County,2020-11-16,-42.0,-20.0,-24.0,-63.0,-47.0,17.0
United States,Massachusetts,Suffolk County,2020-11-17,-42.0,-22.0,-33.0,-65.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-11-18,-45.0,-23.0,-40.0,-64.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-11-19,-45.0,-18.0,-35.0,-64.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-11-20,-42.0,-17.0,-18.0,-60.0,-44.0,17.0
United States,Massachusetts,Suffolk County,2020-11-21,-37.0,-13.0,13.0,-48.0,-18.0,7.0
United States,Massachusetts,Suffolk County,2020-11-22,-41.0,-21.0,-35.0,-56.0,-22.0,8.0
United States,Massachusetts,Suffolk County,2020-11-23,-45.0,-22.0,-45.0,-65.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-11-24,-36.0,-7.0,-31.0,-61.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2020-11-25,-31.0,10.0,-30.0,-61.0,-51.0,15.0
United States,Massachusetts,Suffolk County,2020-11-26,-81.0,-62.0,-59.0,-82.0,-82.0,29.0
United States,Massachusetts,Suffolk County,2020-11-27,-51.0,-31.0,-29.0,-70.0,-61.0,22.0
United States,Massachusetts,Suffolk County,2020-11-28,-46.0,-24.0,-12.0,-55.0,-23.0,9.0
United States,Massachusetts,Suffolk County,2020-11-29,-42.0,-26.0,-8.0,-54.0,-23.0,7.0
United States,Massachusetts,Suffolk County,2020-11-30,-49.0,-31.0,-48.0,-64.0,-49.0,19.0
United States,Massachusetts,Suffolk County,2020-12-01,-41.0,-18.0,-28.0,-63.0,-49.0,17.0
United States,Massachusetts,Suffolk County,2020-12-02,-44.0,-19.0,-36.0,-65.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-12-03,-43.0,-14.0,-25.0,-64.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-12-04,-44.0,-16.0,-29.0,-64.0,-44.0,18.0
United States,Massachusetts,Suffolk County,2020-12-05,-57.0,-32.0,-64.0,-66.0,-28.0,14.0
United States,Massachusetts,Suffolk County,2020-12-06,-43.0,-22.0,-39.0,-60.0,-24.0,9.0
United States,Massachusetts,Suffolk County,2020-12-07,-44.0,-21.0,-39.0,-66.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-12-08,-45.0,-24.0,-44.0,-68.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-12-09,-46.0,-22.0,-40.0,-67.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-12-10,-45.0,-18.0,-30.0,-67.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2020-12-11,-45.0,-20.0,-31.0,-65.0,-45.0,18.0
United States,Massachusetts,Suffolk County,2020-12-12,-47.0,-22.0,-39.0,-60.0,-22.0,10.0
United States,Massachusetts,Suffolk County,2020-12-13,-37.0,-18.0,8.0,-57.0,-21.0,7.0
United States,Massachusetts,Suffolk County,2020-12-14,-46.0,-24.0,-44.0,-67.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2020-12-15,-41.0,-18.0,-40.0,-67.0,-49.0,17.0
United States,Massachusetts,Suffolk County,2020-12-16,-41.0,-4.0,-45.0,-67.0,-50.0,17.0
United States,Massachusetts,Suffolk County,2020-12-17,-76.0,-62.0,-62.0,-79.0,-74.0,34.0
United States,Massachusetts,Suffolk County,2020-12-18,-53.0,-29.0,-51.0,-62.0,-50.0,21.0
United States,Massachusetts,Suffolk County,2020-12-19,-45.0,-20.0,-29.0,-52.0,-23.0,9.0
United States,Massachusetts,Suffolk County,2020-12-20,-46.0,-25.0,-46.0,-57.0,-25.0,9.0
United States,Massachusetts,Suffolk County,2020-12-21,-39.0,-17.0,-38.0,-63.0,-50.0,16.0
United States,Massachusetts,Suffolk County,2020-12-22,-36.0,-12.0,-39.0,-62.0,-51.0,16.0
United States,Massachusetts,Suffolk County,2020-12-23,-34.0,-1.0,-37.0,-61.0,-51.0,15.0
United States,Massachusetts,Suffolk County,2020-12-24,-37.0,10.0,-29.0,-68.0,-60.0,17.0
United States,Massachusetts,Suffolk County,2020-12-25,-88.0,-75.0,-75.0,-86.0,-84.0,34.0
United States,Massachusetts,Suffolk County,2020-12-26,-54.0,-29.0,-34.0,-61.0,-30.0,11.0
United States,Massachusetts,Suffolk County,2020-12-27,-49.0,-33.0,-27.0,-57.0,-26.0,9.0
United States,Massachusetts,Suffolk County,2020-12-28,-42.0,-23.0,-17.0,-65.0,-55.0,18.0
United States,Massachusetts,Suffolk County,2020-12-29,-43.0,-24.0,-38.0,-67.0,-56.0,19.0
United States,Massachusetts,Suffolk County,2020-12-30,-41.0,-14.0,-36.0,-65.0,-55.0,18.0
United States,Massachusetts,Suffolk County,2020-12-31,-36.0,1.0,-23.0,-68.0,-58.0,18.0
United States,Massachusetts,Suffolk County,2021-01-01,-67.0,-49.0,-35.0,-79.0,-76.0,30.0
United States,Massachusetts,Suffolk County,2021-01-02,-53.0,-26.0,-35.0,-57.0,-31.0,12.0
United States,Massachusetts,Suffolk County,2021-01-03,-53.0,-31.0,-47.0,-56.0,-28.0,11.0
United States,Massachusetts,Suffolk County,2021-01-04,-47.0,-21.0,-39.0,-64.0,-51.0,18.0
United States,Massachusetts,Suffolk County,2021-01-05,-49.0,-25.0,-49.0,-68.0,-52.0,20.0
United States,Massachusetts,Suffolk County,2021-01-06,-50.0,-23.0,-43.0,-69.0,-52.0,20.0
United States,Massachusetts,Suffolk County,2021-01-07,-50.0,-22.0,-36.0,-68.0,-51.0,20.0
United States,Massachusetts,Suffolk County,2021-01-08,-51.0,-25.0,-44.0,-68.0,-47.0,20.0
United States,Massachusetts,Suffolk County,2021-01-09,-48.0,-22.0,-32.0,-61.0,-25.0,10.0
United States,Massachusetts,Suffolk County,2021-01-10,-47.0,-27.0,-20.0,-62.0,-27.0,9.0
United States,Massachusetts,Suffolk County,2021-01-11,-49.0,-26.0,-40.0,-69.0,-49.0,19.0
United States,Massachusetts,Suffolk County,2021-01-12,-47.0,-25.0,-36.0,-70.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2021-01-13,-49.0,-24.0,-36.0,-69.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2021-01-14,-52.0,-27.0,-49.0,-69.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2021-01-15,-51.0,-26.0,-40.0,-67.0,-48.0,19.0
United States,Massachusetts,Suffolk County,2021-01-16,-54.0,-29.0,-41.0,-64.0,-30.0,11.0
United States,Massachusetts,Suffolk County,2021-01-17,-47.0,-30.0,-26.0,-64.0,-28.0,9.0
United States,Massachusetts,Suffolk County,2021-01-18,-48.0,-28.0,-20.0,-72.0,-63.0,21.0
United States,Massachusetts,Suffolk County,2021-01-19,-50.0,-29.0,-41.0,-70.0,-52.0,18.0
United States,Massachusetts,Suffolk County,2021-01-20,-53.0,-31.0,-43.0,-71.0,-52.0,20.0
United States,Massachusetts,Suffolk County,2021-01-21,-52.0,-27.0,-45.0,-70.0,-51.0,20.0
United States,Massachusetts,Suffolk County,2021-01-22,-51.0,-26.0,-41.0,-68.0,-47.0,19.0
United States,Massachusetts,Suffolk County,2021-01-23,-49.0,-26.0,-36.0,-63.0,-26.0,10.0
United States,Massachusetts,Suffolk County,2021-01-24,-52.0,-34.0,-50.0,-65.0,-28.0,10.0
United States,Massachusetts,Suffolk County,2021-01-25,-50.0,-28.0,-41.0,-68.0,-50.0,18.0
United States,Massachusetts,Suffolk County,2021-01-26,-51.0,-30.0,-44.0,-70.0,-52.0,19.0
United States,Massachusetts,Suffolk County,2021-01-27,-54.0,-33.0,-45.0,-71.0,-53.0,21.0
United States,Massachusetts,Suffolk County,2021-01-28,-53.0,-28.0,-49.0,-70.0,-51.0,20.0
United States,Massachusetts,Suffolk County,2021-01-29,-55.0,-35.0,-61.0,-71.0,-49.0,21.0
United States,Massachusetts,Suffolk County,2021-01-30,-51.0,-26.0,-52.0,-66.0,-28.0,11.0
United States,Massachusetts,Suffolk County,2021-01-31,-48.0,-23.0,-51.0,-63.0,-27.0,9.0
United States,Massachusetts,Suffolk County,2021-02-01,-55.0,-26.0,-55.0,-74.0,-55.0,22.0
United States,Massachusetts,Suffolk County,2021-02-02,-61.0,-44.0,-62.0,-75.0,-61.0,25.0
United States,Massachusetts,Suffolk County,2021-02-03,-50.0,-25.0,-49.0,-68.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2021-02-04,-49.0,-22.0,-43.0,-68.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2021-02-05,-49.0,-25.0,-50.0,-67.0,-46.0,19.0
United States,Massachusetts,Suffolk County,2021-02-06,-43.0,-13.0,-23.0,-61.0,-23.0,8.0
United States,Massachusetts,Suffolk County,2021-02-07,-59.0,-37.0,-51.0,-66.0,-30.0,11.0
United States,Massachusetts,Suffolk County,2021-02-08,-50.0,-28.0,-46.0,-68.0,-50.0,18.0
United States,Massachusetts,Suffolk County,2021-02-09,-54.0,-35.0,-54.0,-70.0,-53.0,21.0
United States,Massachusetts,Suffolk County,2021-02-10,-48.0,-24.0,-48.0,-68.0,-50.0,18.0
United States,Massachusetts,Suffolk County,2021-02-11,-47.0,-20.0,-44.0,-67.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2021-02-12,-48.0,-24.0,-52.0,-66.0,-47.0,19.0
United States,Massachusetts,Suffolk County,2021-02-13,-41.0,-12.0,-32.0,-59.0,-24.0,8.0
United States,Massachusetts,Suffolk County,2021-02-14,-39.0,-20.0,-32.0,-60.0,-25.0,8.0
United States,Massachusetts,Suffolk County,2021-02-15,-49.0,-30.0,-49.0,-71.0,-64.0,21.0
United States,Massachusetts,Suffolk County,2021-02-16,-51.0,-33.0,-53.0,-69.0,-53.0,20.0
United States,Massachusetts,Suffolk County,2021-02-17,-47.0,-23.0,-41.0,-67.0,-50.0,18.0
United States,Massachusetts,Suffolk County,2021-02-18,-50.0,-22.0,-46.0,-67.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2021-02-19,-59.0,-40.0,-57.0,-68.0,-52.0,23.0
United States,Massachusetts,Suffolk County,2021-02-20,-47.0,-24.0,-30.0,-57.0,-25.0,9.0
United States,Massachusetts,Suffolk County,2021-02-21,-44.0,-27.0,-26.0,-58.0,-27.0,8.0
United States,Massachusetts,Suffolk County,2021-02-22,-49.0,-28.0,-47.0,-66.0,-48.0,18.0
United States,Massachusetts,Suffolk County,2021-02-23,-45.0,-25.0,-38.0,-67.0,-49.0,18.0
United States,Massachusetts,Suffolk County,2021-02-24,-44.0,-22.0,-22.0,-66.0,-49.0,17.0
United States,Massachusetts,Suffolk County,2021-02-25,-45.0,-19.0,-30.0,-66.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2021-02-26,-45.0,-23.0,-35.0,-64.0,-46.0,17.0
United States,Massachusetts,Suffolk County,2021-02-27,-46.0,-24.0,-47.0,-59.0,-24.0,9.0
United States,Massachusetts,Suffolk County,2021-02-28,-40.0,-23.0,-16.0,-57.0,-24.0,7.0
United States,Massachusetts,Suffolk County,2021-03-01,-45.0,-23.0,-39.0,-65.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2021-03-02,-48.0,-29.0,-50.0,-69.0,-50.0,19.0
United States,Massachusetts,Suffolk County,2021-03-03,-42.0,-18.0,-27.0,-66.0,-49.0,17.0
United States,Massachusetts,Suffolk County,2021-03-04,-45.0,-18.0,-36.0,-65.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2021-03-05,-46.0,-23.0,-48.0,-64.0,-46.0,18.0
United States,Massachusetts,Suffolk County,2021-03-06,-40.0,-18.0,-24.0,-57.0,-24.0,8.0
United States,Massachusetts,Suffolk County,2021-03-07,-40.0,-23.0,-25.0,-59.0,-26.0,7.0
United States,Massachusetts,Suffolk County,2021-03-08,-44.0,-21.0,-31.0,-65.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2021-03-09,-40.0,-22.0,-10.0,-66.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2021-03-10,-41.0,-21.0,-18.0,-65.0,-49.0,17.0
United States,Massachusetts,Suffolk County,2021-03-11,-38.0,-15.0,15.0,-62.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2021-03-12,-39.0,-20.0,-4.0,-61.0,-45.0,16.0
United States,Massachusetts,Suffolk County,2021-03-13,-36.0,-16.0,-5.0,-54.0,-23.0,6.0
United States,Massachusetts,Suffolk County,2021-03-14,-40.0,-25.0,-35.0,-56.0,-25.0,7.0
United States,Massachusetts,Suffolk County,2021-03-15,-46.0,-26.0,-49.0,-65.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2021-03-16,-42.0,-22.0,-40.0,-64.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2021-03-17,-36.0,-16.0,-17.0,-62.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2021-03-18,-44.0,-21.0,-45.0,-62.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2021-03-19,-41.0,-20.0,-38.0,-61.0,-45.0,16.0
United States,Massachusetts,Suffolk County,2021-03-20,-32.0,-13.0,34.0,-50.0,-22.0,5.0
United States,Massachusetts,Suffolk County,2021-03-21,-28.0,-18.0,53.0,-51.0,-22.0,5.0
United States,Massachusetts,Suffolk County,2021-03-22,-36.0,-17.0,8.0,-60.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2021-03-23,-36.0,-20.0,-1.0,-62.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2021-03-24,-39.0,-21.0,-17.0,-62.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2021-03-25,-37.0,-15.0,0.0,-60.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2021-03-26,-38.0,-18.0,-12.0,-59.0,-45.0,15.0
United States,Massachusetts,Suffolk County,2021-03-27,-29.0,-12.0,40.0,-48.0,-21.0,4.0
United States,Massachusetts,Suffolk County,2021-03-28,-43.0,-29.0,-49.0,-57.0,-26.0,8.0
United States,Massachusetts,Suffolk County,2021-03-29,-37.0,-17.0,-19.0,-61.0,-46.0,15.0
United States,Massachusetts,Suffolk County,2021-03-30,-35.0,-17.0,-2.0,-61.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2021-03-31,-35.0,-16.0,-4.0,-60.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2021-04-01,-39.0,-15.0,-40.0,-60.0,-47.0,16.0
United States,Massachusetts,Suffolk County,2021-04-02,-36.0,-12.0,-32.0,-59.0,-47.0,16.0
United States,Massachusetts,Suffolk County,2021-04-03,-30.0,-5.0,9.0,-50.0,-22.0,4.0
United States,Massachusetts,Suffolk County,2021-04-04,-40.0,-23.0,26.0,-53.0,-29.0,4.0
United States,Massachusetts,Suffolk County,2021-04-05,-36.0,-16.0,-24.0,-59.0,-46.0,15.0
United States,Massachusetts,Suffolk County,2021-04-06,-35.0,-17.0,-4.0,-60.0,-46.0,14.0
United States,Massachusetts,Suffolk County,2021-04-07,-35.0,-16.0,-10.0,-60.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2021-04-08,-34.0,-11.0,7.0,-57.0,-46.0,14.0
United States,Massachusetts,Suffolk County,2021-04-09,-34.0,-15.0,7.0,-56.0,-44.0,13.0
United States,Massachusetts,Suffolk County,2021-04-10,-24.0,-9.0,93.0,-44.0,-22.0,2.0
United States,Massachusetts,Suffolk County,2021-04-11,-34.0,-20.0,-23.0,-53.0,-24.0,7.0
United States,Massachusetts,Suffolk County,2021-04-12,-38.0,-17.0,-30.0,-58.0,-46.0,15.0
United States,Massachusetts,Suffolk County,2021-04-13,-35.0,-17.0,-9.0,-59.0,-46.0,14.0
United States,Massachusetts,Suffolk County,2021-04-14,-35.0,-16.0,-7.0,-59.0,-48.0,14.0
United States,Massachusetts,Suffolk County,2021-04-15,-40.0,-16.0,-33.0,-59.0,-46.0,15.0
United States,Massachusetts,Suffolk County,2021-04-16,-50.0,-33.0,-61.0,-62.0,-47.0,19.0
United States,Massachusetts,Suffolk County,2021-04-17,-34.0,-13.0,-17.0,-48.0,-22.0,6.0
United States,Massachusetts,Suffolk County,2021-04-18,-25.0,-17.0,36.0,-47.0,-22.0,4.0
United States,Massachusetts,Suffolk County,2021-04-19,-31.0,-15.0,20.0,-58.0,-55.0,15.0
United States,Massachusetts,Suffolk County,2021-04-20,-28.0,-15.0,41.0,-56.0,-48.0,13.0
United States,Massachusetts,Suffolk County,2021-04-21,-38.0,-21.0,-24.0,-59.0,-50.0,15.0
United States,Massachusetts,Suffolk County,2021-04-22,-37.0,-14.0,-34.0,-58.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2021-04-23,-35.0,-16.0,-24.0,-57.0,-47.0,14.0
United States,Massachusetts,Suffolk County,2021-04-24,-22.0,-10.0,75.0,-41.0,-22.0,2.0
United States,Massachusetts,Suffolk County,2021-04-25,-37.0,-21.0,-35.0,-52.0,-25.0,7.0
United States,Massachusetts,Suffolk County,2021-04-26,-33.0,-13.0,-13.0,-56.0,-45.0,13.0
United States,Massachusetts,Suffolk County,2021-04-27,-32.0,-15.0,-7.0,-58.0,-45.0,13.0
United States,Massachusetts,Suffolk County,2021-04-28,-34.0,-16.0,-23.0,-57.0,-47.0,14.0
United States,Massachusetts,Suffolk County,2021-04-29,-40.0,-19.0,-50.0,-57.0,-46.0,16.0
United States,Massachusetts,Suffolk County,2021-04-30,-34.0,-12.0,-28.0,-53.0,-43.0,13.0
United States,Massachusetts,Suffolk County,2021-05-01,-24.0,-7.0,32.0,-41.0,-21.0,3.0
United States,Massachusetts,Suffolk County,2021-05-02,-22.0,-13.0,35.0,-45.0,-22.0,3.0
United States,Massachusetts,Suffolk County,2021-05-03,-30.0,-10.0,-8.0,-54.0,-45.0,12.0
United States,Massachusetts,Suffolk County,2021-05-04,-35.0,-16.0,-40.0,-58.0,-46.0,15.0
United States,Massachusetts,Suffolk County,2021-05-05,-36.0,-16.0,-48.0,-57.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2021-05-06,-26.0,-4.0,-1.0,-53.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-05-07,-30.0,-11.0,-36.0,-52.0,-43.0,12.0
United States,Massachusetts,Suffolk County,2021-05-08,-23.0,-2.0,-18.0,-41.0,-22.0,3.0
United States,Massachusetts,Suffolk County,2021-05-09,-12.0,-5.0,15.0,-42.0,-20.0,1.0
United States,Massachusetts,Suffolk County,2021-05-10,-31.0,-12.0,-33.0,-54.0,-46.0,13.0
United States,Massachusetts,Suffolk County,2021-05-11,-26.0,-11.0,-26.0,-55.0,-45.0,12.0
United States,Massachusetts,Suffolk County,2021-05-12,-28.0,-11.0,-25.0,-53.0,-46.0,12.0
United States,Massachusetts,Suffolk County,2021-05-13,-26.0,-4.0,-10.0,-52.0,-46.0,12.0
United States,Massachusetts,Suffolk County,2021-05-14,-26.0,-8.0,-8.0,-49.0,-44.0,11.0
United States,Massachusetts,Suffolk County,2021-05-15,-18.0,-5.0,37.0,-35.0,-24.0,1.0
United States,Massachusetts,Suffolk County,2021-05-16,-19.0,-13.0,13.0,-40.0,-22.0,3.0
United States,Massachusetts,Suffolk County,2021-05-17,-25.0,-6.0,-5.0,-51.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-05-18,-25.0,-9.0,-5.0,-52.0,-44.0,11.0
United States,Massachusetts,Suffolk County,2021-05-19,-26.0,-9.0,-6.0,-52.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-05-20,-26.0,-3.0,-6.0,-50.0,-44.0,11.0
United States,Massachusetts,Suffolk County,2021-05-21,-28.0,-9.0,-8.0,-48.0,-42.0,10.0
United States,Massachusetts,Suffolk County,2021-05-22,-21.0,-7.0,32.0,-35.0,-22.0,1.0
United States,Massachusetts,Suffolk County,2021-05-23,-19.0,-13.0,35.0,-38.0,-21.0,2.0
United States,Massachusetts,Suffolk County,2021-05-24,-25.0,-7.0,-13.0,-50.0,-44.0,11.0
United States,Massachusetts,Suffolk County,2021-05-25,-24.0,-9.0,-12.0,-51.0,-44.0,11.0
United States,Massachusetts,Suffolk County,2021-05-26,-24.0,-10.0,-1.0,-49.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-05-27,-24.0,-4.0,2.0,-48.0,-45.0,10.0
United States,Massachusetts,Suffolk County,2021-05-28,-29.0,-12.0,-40.0,-48.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-05-29,-30.0,-18.0,-47.0,-41.0,-27.0,5.0
United States,Massachusetts,Suffolk County,2021-05-30,-27.0,-26.0,-55.0,-43.0,-25.0,5.0
United States,Massachusetts,Suffolk County,2021-05-31,-26.0,-16.0,-19.0,-60.0,-74.0,18.0
United States,Massachusetts,Suffolk County,2021-06-01,-23.0,-7.0,-11.0,-49.0,-45.0,10.0
United States,Massachusetts,Suffolk County,2021-06-02,-24.0,-7.0,-4.0,-48.0,-45.0,10.0
United States,Massachusetts,Suffolk County,2021-06-03,-24.0,-1.0,-16.0,-48.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-06-04,-27.0,-9.0,-28.0,-47.0,-43.0,10.0
United States,Massachusetts,Suffolk County,2021-06-05,-19.0,-5.0,55.0,-30.0,-22.0,-1.0
United States,Massachusetts,Suffolk County,2021-06-06,-17.0,-12.0,47.0,-34.0,-20.0,0.0
United States,Massachusetts,Suffolk County,2021-06-07,-18.0,-6.0,5.0,-46.0,-45.0,10.0
United States,Massachusetts,Suffolk County,2021-06-08,-22.0,-10.0,-23.0,-50.0,-45.0,11.0
United States,Massachusetts,Suffolk County,2021-06-09,-19.0,-8.0,-4.0,-47.0,-45.0,10.0
United States,Massachusetts,Suffolk County,2021-06-10,-18.0,-1.0,4.0,-45.0,-44.0,9.0
United States,Massachusetts,Suffolk County,2021-06-11,-24.0,-10.0,-24.0,-44.0,-44.0,10.0
United States,Massachusetts,Suffolk County,2021-06-12,-16.0,-6.0,25.0,-29.0,-23.0,0.0
